Source (Pangasinan),Source (Cleaned),Pivot (Bikolano),Translation (Tagalog),Reference (Tagalog),Reference (Cleaned),BLEU
Ama mi a wala kad tawen.,ama mi a wala kad tawen,ama nyamong nasa langit,ama namin na nasa langit,"Ama Namin, sumasalangit ka.",ama namin sumasalangit ka,21.3643503198117
Nagalang so ngaran Mo.,nagalang so ngaran mo,pagomawon an saimong ngaran,purihin ang iyong pangalan,Sambahin ang ngalan mo.,sambahin ang ngalan mo,15.97357760615681
onsabid sikami so panarian Mo.,onsabid sikami so panarian mo,dumatong samo an saimong kahadean,dumating nawa sa amin ang kaharian mo,Mapasaamin ang kaharian mo.,mapasaamin ang kaharian mo,24.446151121745054
"Onorey linawam, diad dalin onung ed tawen.",onorey linawam diad dalin onung ed tawen,an saimong kabotan gibohon digdi sa daga siring sa langit,gawin nawa ang iyong kalooban kung paano sa langit gayundin naman sa lupa,Sundin ang loob mo dito sa lupa para nang sa langit.,sundin ang loob mo dito sa lupa para nang sa langit,9.238430210261097
"Say kanen min inagew-agew, iter mod sikami ed agew aya.",say kanen min inagewagew iter mod sikami ed agew aya,itao mo samuya sa aroaldaw an samong kakanon sa aroaldaw,ibigay mo sa amin sa arawaraw ang aming tinapay sa arawaraw,"Bigyan mo kami ngayon ng aming kakanin sa araw-araw,",bigyan mo kami ngayon ng aming kakanin sa arawaraw,8.913765521398126
Tan paandian Mo ray kasalanan mi onung na panamaandi miy kasalanan day akapankasalanan ed sikami;,tan paandian mo ray kasalanan mi onung na panamaandi miy kasalanan day akapankasalanan ed sikami,patawada an samong mga kasalan siring na pinatawad mi an mga nagkasala samo,at ipatawad mo sa amin ang aming mga utang gaya naman namin na nagpapatawad sa mga may utang sa amin,"At patawarin mo kami sa aming mga sala, para nang pagpapatawad namin sa nagkakasala sa amin",at patawarin mo kami sa aming mga sala para nang pagpapatawad namin sa nagkakasala sa amin,6.632379583706114
"Tan ag mo kami iter ya onabuloy ed tukso, ilaban Mo kami ingen ed mauges.",tan ag mo kami iter ya onabuloy ed tukso ilaban mo kami ingen ed mauges,hare kami pagpabayae sa sogot ligtasan kami sa maraot,at huwag mo kaming ihatid sa tukso kundi iligtas mo kami sa masama,"At huwag mo kaming ipahintulot sa tukso, at iadya mo kami sa lahat ng masama.",at huwag mo kaming ipahintulot sa tukso at iadya mo kami sa lahat ng masama,27.43937845663834
"Ave Maria, napno kay grasya, say Katawan so walad sika.",ave maria napno kay grasya say katawan so walad sika,Ave maria pano ka nin biyaya kaiba mo an kagurangnan ,o maria na puspos ng biyaya ang panginoon ay kasama mo,"Aba Ginoong Maria, napupuno ka ng grasya, ang Panginoong Diyos ay sumasaiyo.",aba ginoong maria napupuno ka ng grasya ang panginoong diyos ay sumasaiyo,4.8395768698246995
"Bendita kad biin amin, tan benditoy bungay eges mon si Jesus.",bendita kad biin amin tan benditoy bungay eges mon si jesus,bendisyonan ka nin dios mga babae asin an bunga kan saimong tulak iyo si jesus,pinagpala ka na babae at ang bunga ng iyong tiyan ay si jesus,Bukod kang pinagpala sa babaeng lahat at pinagpala naman ang iyong Anak na si Hesus.,bukod kang pinagpala sa babaeng lahat at pinagpala naman ang iyong anak na si hesus,4.145233149382421
"Santa Maria, Inay Dios, pikasi mo kanin managkasalanan natan tan naani no oras lay ipatey mi.",santa maria inay dios pikasi mo kanin managkasalanan natan tan naani no oras lay ipatey mi,banal na maria mamibi ka sa dios mamibi ka sa mga parakasala ngunyan asin sa oras nin samong pagkagadan,banal maria ipanalangin mo kami sa diyos ipanalangin mo kami sa mga makasalanan ngayon at sa oras ng kamatayan,"Santa Maria, Ina ng Diyos, ipanalangin mo kaming makasalanan, ngayon at kung kami'y mamamatay.",santa maria ina ng diyos ipanalangin mo kaming makasalanan ngayon at kung kamiy mamamatay,13.618796864073044
Nagalang so Dios Ama tan Dios Anak tan Dios Ispiritu Santo.,nagalang so dios ama tan dios anak tan dios ispiritu santo,pagomawon an dios ama asin dios aki asin dios espiritu santo,purihin ang ama at ang diyos ang diyos ang anak at ang diyos ang espiritu santo,Luwalhati sa Ama at sa Anak at sa Espiritu Santo.,luwalhati sa ama at sa anak at sa espiritu santo,8.47178590796544
"Unung ed gapo, natan tan lawas ed ando lan ando.",unung ed gapo natan tan lawas ed ando lan ando,siring kaidto ngunyan asin sagkod pa man,gaya noon at ngayon at magpakailanpaman,"Kapara nang sa una, gayon din ngayon at magpakilan pa man sa walang hanggan.",kapara nang sa una gayon din ngayon at magpakilan pa man sa walang hanggan,4.2790766678617365
"Manisia ak ed Dios, Aman makapanyarin amin, manamalsay tawen tan dalin.",manisia ak ed dios aman makapanyarin amin manamalsay tawen tan dalin,minatubod ako sa dios ama makakamhan na kaglalang kan langit asin daga,sumasampalataya ako sa diyos ama makapangyarihan sa lahat na lumikha ng langit at lupa,"Sumasampalataya ako sa Diyos Amang makapanyayari sa lahat, na may gawa ng langit at lupa.",sumasampalataya ako sa diyos amang makapanyayari sa lahat na may gawa ng langit at lupa,40.73224091836952
